Temp.treatment,Fungal.treatment,Subplot.ID,Plot.ID,Season.emergence,Season.nonemergent,Season.survival,Surviving.plants,Total.seeds.per.subplot,Seeds.per.survivor,Spikelets.with.headsmut,Headsmut.per.survivor,CG.bag.biomass.g,CG.bag.type,Cheatgrass.biomass.g.subplot,Biomass.per.survivor.g,Other.bag.biomass.g,Other.bag.type,Other.biomass.g.subplot,Total.biomass.g.subplot,Lambda.estimate
Control,Snow Mold,C1.2,C1,63,37,0.21,21,23,1.095238095,40,1.904761905,11,6,0.26,0.012380952,17.08,6,6.34,6.6,0.23
Control,Control,C1.3,C1,69,31,0.29,29,26,0.896551724,23,0.793103448,11.04,6,0.3,0.010344828,18.49,6,7.75,8.05,0.26
Control,Fungicide,C1.4,C1,67,33,0.43,43,40,0.930232558,30,0.697674419,11.02,6,0.28,0.006511628,18.92,6,8.18,8.46,0.4
Control,Control,C2.1,C2,51,49,0.3,30,21,0.7,24,0.8,10.88,6,0.14,0.004666667,28.48,6,17.74,17.88,0.21
Control,Snow Mold,C2.2,C2,46,54,0.28,28,15,0.535714286,22,0.785714286,10.85,6,0.11,0.003928571,22.89,6,12.15,12.26,0.15
Control,Fungicide,C2.4,C2,51,49,0.38,38,31,0.815789474,22,0.578947368,11,6,0.26,0.006842105,26.45,6,15.71,15.97,0.31
Control,Control,C3.1,C3,57,43,0.34,34,59,1.735294118,28,0.823529412,11.31,6,0.57,0.016764706,14.7,6,3.96,4.53,0.59
Control,Fungicide,C3.2,C3,60,40,0.41,41,69,1.682926829,46,1.12195122,11.41,6,0.67,0.016341463,12.38,6,1.64,2.31,0.69
Control,Snow Mold,C3.4,C3,47,53,0.36,36,40,1.111111111,33,0.916666667,11.15,6,0.41,0.011388889,12.5,6,1.76,2.17,0.4
Control,Snow Mold,C4.1,C4,85,15,0.42,42,34,0.80952381,44,1.047619048,11.29,6,0.55,0.013095238,13.4,6,2.66,3.21,0.34
Control,Control,C4.2,C4,82,18,0.5,50,38,0.76,46,0.92,11.12,6,0.38,0.0076,16.26,6,5.52,5.9,0.38
Control,Fungicide,C4.3,C4,84,16,0.24,24,28,1.166666667,15,0.625,11.27,6,0.53,0.022083333,11.44,6,0.7,1.23,0.28
Control,Control,C5.1,C5,88,12,0.33,33,96,2.909090909,107,3.242424242,11.56,6,0.82,0.024848485,15.82,6,5.08,5.9,0.96
Control,Snow Mold,C5.2,C5,85,15,0.44,44,72,1.636363636,121,2.75,11.55,6,0.81,0.018409091,43.47,1,11.66,12.47,0.72
Control,Fungicide,C5.3,C5,72,28,0.42,42,262,6.238095238,76,1.80952381,34.25,1,2.44,0.058095238,39.72,1,7.91,10.35,2.62
Control,Fungicide,C6.1,C6,78,22,0.28,28,172,6.142857143,5,0.178571429,33.89,1,2.08,0.074285714,76.12,1,44.31,46.39,1.72
Control,Control,C6.3,C6,80,20,0.19,19,73,3.842105263,67,3.526315789,33.46,1,1.65,0.086842105,55.47,1,23.66,25.31,0.73
Control,Snow Mold,C6.4,C6,89,11,0.15,15,3,0.2,14,0.933333333,32.75,1,0.94,0.062666667,70.74,1,38.93,39.87,0.03
Heat,Fungicide,H1.2,H1,63,37,0.52,52,142,2.730769231,71,1.365384615,33.34,1,1.53,0.029423077,43.54,1,11.73,13.26,1.42
Heat,Snow Mold,H1.3,H1,64,36,0.57,57,119,2.087719298,114,2,33.37,1,1.56,0.027368421,45.21,1,13.4,14.96,1.19
Heat,Control,H1.4,H1,83,17,0.49,49,33,0.673469388,50,1.020408163,32.97,1,1.16,0.023673469,43.62,1,11.81,12.97,0.33
Heat,Fungicide,H2.1,H2,69,31,0.65,65,115,1.769230769,103,1.584615385,33.31,1,1.5,0.023076923,37.6,1,5.79,7.29,1.15
Heat,Snow Mold,H2.2,H2,80,20,0.54,54,75,1.388888889,66,1.222222222,33.71,1,1.9,0.035185185,42.6,1,10.79,12.69,0.75
Heat,Control,H2.4,H2,86,14,0.65,65,124,1.907692308,65,1,33.16,1,1.35,0.020769231,37.31,1,5.5,6.85,1.24
Heat,Snow Mold,H3.1,H3,50,50,0.42,42,94,2.238095238,47,1.119047619,32.95,1,1.14,0.027142857,34.82,1,3.01,4.15,0.94
Heat,Fungicide,H3.2,H3,70,30,0.58,58,205,3.534482759,154,2.655172414,34.03,1,2.22,0.038275862,34.76,1,2.95,5.17,2.05
Heat,Control,H3.3,H3,63,37,0.56,56,267,4.767857143,97,1.732142857,33.86,1,2.05,0.036607143,34.97,1,3.16,5.21,2.67
Heat,Control,H4.1,H4,86,14,0.76,76,459,6.039473684,189,2.486842105,36.64,1,4.83,0.063552632,33.34,1,1.53,6.36,4.59
Heat,Snow Mold,H4.3,H4,87,13,0.79,79,621,7.860759494,436,5.518987342,38.04,1,6.23,0.078860759,32.8,1,0.99,7.22,6.21
Heat,Fungicide,H4.4,H4,88,12,0.83,83,536,6.457831325,106,1.277108434,36.22,1,4.41,0.05313253,38.11,1,6.3,10.71,5.36
Heat,Control,H5.2,H5,70,30,0.51,51,154,3.019607843,57,1.117647059,33.94,1,2.13,0.041764706,38.85,1,7.04,9.17,1.54
Heat,Fungicide,H5.3,H5,76,24,0.65,65,122,1.876923077,44,0.676923077,25.26,2,1.51,0.023230769,52.96,2,29.21,30.72,1.22
Heat,Snow Mold,H5.4,H5,83,17,0.58,58,91,1.568965517,111,1.913793103,25.52,2,1.77,0.030517241,67.11,2,43.36,45.13,0.91
Heat,Control,H6.1,H6,83,17,0.41,41,54,1.317073171,44,1.073170732,24.36,2,0.61,0.014878049,31.65,2,7.9,8.51,0.54
Heat,Snow Mold,H6.2,H6,87,13,0.44,44,37,0.840909091,35,0.795454545,24.77,2,1.02,0.023181818,36.92,2,13.17,14.19,0.37
Heat,Fungicide,H6.3,H6,88,12,0.61,61,85,1.393442623,28,0.459016393,25,2,1.25,0.020491803,36.32,2,12.57,13.82,0.85
